Villain	Year first	Year last	Doc. no.	Doctor actor	Episodes	Motivation (invasion earth, kill humans, etc)	Story titles
Casp, Matron	2006	2007	10	David Tennant	2	Medical experiments	New Earth/Gridlock
Scaroth	1979	1979	4	Tom Baker	4	Steal the Mona Lisa to finance experiments	City of Death
Pike, Samuel 	1966	1966	1	William Hartnell	4	Find Treasure	The Smugglers
Soldeed, The	1979	1980	4	Tom Baker	4	Rebuild the Skonnan Empire	The Horns of Nimon
Morpho	1964	1964	1	William Hartnell	6	Save alien planet	The Keys of Marinus
Millington, Commander AH	1989	1989	7	Sylvester McCoy	4	Serve big bad	The Curse of Fenric
Drathro (L3 robot)	1986	1986	6	Colin Baker	4	Protect	The Mysterious Planet
Dracula, Robot Count	1965	1965	1	William Hartnell	6	Serve big bad	The Chase
Daughter of Mine	2007	2007	10	David Tennant	2	Infiltrate places	Human Nature/The Family of Blood
Capricorn, Max	2007	2007	10	David Tennant	1	Bankrupt company	Voyage of the Damned
Rudge	1986	1986	6	Colin Baker	4	Serve big bad	Terror of the Vervoids
Dent	1971	1971	3	Jon Pertwee	6	Make money	Colony in Space
Gell guards 	1972	1973	1,2,3	William Hartnell, Patrick Troughton, Jon Pertwee	4	Serve big bad	The Three Doctors
Salamander	1967	1968	2	Patrick Troughton	6	Wants to control an organisation	The Enemy of the World
Zu-Zana	2005	2005	9	Christopher Eccleston	1	Serve big bad	Bad Wolf
Nilson	1984	1984	5	Peter Davison	4	Serve big bad	Warriors of the Deep
Sensorites	1964	1964	1	William Hartnell	6	Fear	The Sensorites
Mysterious Man	2007	2007	10	David Tennant	1	Power/ serve big bad	The Hazarus Experiment
Dalek prime minister	2012	2012	11	Matt Smith	1	Protecting the Daleks	Asylum of the Daleks
Skorpius Flies	2009	2009	10	David Tennant	7	Self interest (food)	Dreamland
Ogrons 	1972	1973	3	Jon Pertwee	10	Serve big bad	Day of the Daleks, Frontier in Space
Zaroff, Professor	1967	1967	2	Patrick Troughton	4	Destroy the World	The Underwater Menace
Primord	1970	1970	3	Jon Pertwee	7	Control Humans	Inferno
Axons	1971	1971	3	Jon Pertwee	4	Earth invasion/Human extermination	The Claws of Axos
Kroll	1978	1979	4	Tom Baker	4	Indiscriminate destruction	The Power of Kroll
Adipose Industries 	2008	2008	10	David Tennant	1	Control the World	Partners in Crime
Smith, Josiah Samuel (Survey)	1989	1989	7	Sylvester McCoy	3	Destroy all life	Ghost Light
Lupine Wavelength Haemovariform (werewolf)	2006	2006	10	David Tennant	1	Kill everything	Tooth and Claw
Hoix	2006	2010	10,11	David Tennant, Matt Smith	2	Consume everything/Imprison the Doctor	Love and Monsters (cameo), The Pandorica Opens (see Alliance above)
Wire (the)	2006	2006	10	David Tennant	1	Erase thoughts	The Idiot's Lantern
Hepesh	1972	1972	3	Jon Pertwee	4	Universal control	The Curse of Peladon
Varga	1967	1967	2	Patrick Troughton	6	World domination	The Ice Warriors
Gurney, Constantine Ethelred	2007	2007	10	David Tennant	13	Larceny, blackmail and fraud	The Infinite Quest 
Shakri	2012	2012	11	Matt Smith	1	Destroy humans	The Power of Three
Clown robots	1989	1989	7	Sylvester McCoy	4	Serve big bad	The Greatest Show in the Galaxy
Dextrus, Lucias Petrus	2008	2008	10	David Tennant	1	Dominate the world	The Fires of Pompeii
Terileptils	1982	1982	5	Peter Davison	4	Kill the Doctor	The Visitation
Hindle	1982	1982	5	Peter Davison	4	Serve big bad	Kinda
Ingiger	1989	1989	7	Sylvester McCoy	4	Control alien species	The Curse of Fenric
Marshal of Atrios	1979	1979	4	Tom Baker 	6	Power	The Armageddon Factor
Hedin, Councillor	1983	1983	5	Peter Davison	4	Viral infection	Arc of Infinity
Peking Homunculus (Mr Sin)	1977	1977	4	Tom Baker	6	Kill humans	Talons of Weng Chiang
Forest Monster	2013	2013	11	Matt Smith	1	Find mate	Hide
Loch Ness Monster (Skarasen)	1975	1975	4	Tom Baker	4	Serve big bad	Terror of the Zygons
Aukon (one of Three who rule)	1980	1980	4	Tom Baker	4	Drink blood, control humans	State of Decay
Sea Devils	1972	1984	3,5	Jon Pertwee, Peter Davison	10	Capture the Doctor	The Sea Devils, Warriors of the Deep
Anti-matter monster	1975	1975	4	Tom Baker	4	Energy	Planet of Evil
Cheetah people	1989	1989	7	Sylvester McCoy	3	Serve big bad	Survival
Gubbage Cone 	1965	1965	1	William Hartnell	6	Attack the Doctor	The Chase
Caw 	2007	2007	10	David Tennant	13	Gold	The Infinite Quest 
Winder 	2010	2010	11	Matt Smith	1	Protect 	The Beast Below
Taltalian, Bruno	1970	1970	7	Jon Pertwee	7	Serve big bad	The Ambassadors of Death
Adrasta, Lady	1979	1979	4	Tom Baker	4	Mineral wealth	The Creature from the Pit
Trask (The Highlanders)	1966	1967	2	Patrick Troughton	4	Smuggle weapons	The Highlanders
Mansell	1983	1983	5	Peter Davison	4	Competing for enlightment	Enlightenment
Tegana	1964	1964	1	William Hartnell	7	Kill the Doctor	Marco Polo
Wirrn/Wirrrn 	1975	1975	4	Tom Baker	4	World domination	The Ark in Space
Ulysees Meregrass	2007	2007	10	David Tennant 	13	Make money	The Infinite QuestElders (the)	1966	1966	1	William Hartnell	4	1	Self interest	The Savages
Neo-Nazis, Windsor	1988	1988	7	Sylvester McCoy	3	Fascist stooge	Silver Nemesis
Viperox	2009	2009	10	David Tennant	7	Hunt/invade	Dreamland
Calvierri, Signora Rosanna	2010	2010	11	Matt Smith	1	reproduce	The Vampires of Venice
Vasor	1964	1964	1	William Hartnell	6	Save alien planet	The Keys of Marinus
Gravis	1984	1984	5	Peter Davison	4	Kill Humans	Frontios
Silurians (exc Sea Devils)	1970	2010	3,5,11	Jon Pertwee, Peter Davison, Matt Smith	16	World domination	Doctor Who and the Silurians, Warriors of the Deep, The Hungry Earth/Cold Blood, The Pandorica Opens (see Alliance above), A Good Man Goes to War
Caven, Maurice	1969	1969	2	Patrick Troughton	6	Invade another alien planet	The Space Pitrates
Spoonheads	2013	2013	11	Matt Smith	1	Serve big bad	The Bells of Saint John
Vigil, The	2013	2013	11	Matt Smith	1	Serve Big Bad	The Rings of Ahkaten 
Heavenly Host 	2007	2007	10	David Tennant	1	Serve big bad	Voyage of the Damned
Dalek Supreme (Supreme Dalek), inc Progenitor	1964	2010	1, 2, 3, 4, 5, 6, 7, 10, 11	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, David Tennant, Matt Smith	63	Earth invasion/Human extermination	Dalek Invasion of earth, The Daleks' Master Plan, The Chase, The Evil of the Daleks, Day of the Daleks, Frontier in Space, Planet of the Daleks, Destiny of the Daleks, Resurrection of the Daleks, Revelation of the Daleks, Remembrance of the Daleks, The Stolen Earth/Journey's End, Victory of the Daleks, The Pandorica Opens
Krynoids	1976	1976	4	Tom Baker	6	World domination	Seeds of Doom
Carlo 	2010	2010	11	Matt Smith	1	Serve big bad	The Vampires of Venice
Dastari, Joinson	1985	1985	2,6	Patrick Troughton, Colin Baker	3	Medical experiments	The Two Doctors
Eternals	1983	1983	5	Peter Davison	4	Amusement, universal control	Enlightenment
Mailer, Harry 	1971	1971	3	Jon Pertwee	6	Power	The mind of Evil
Grendel, Count	1978	1978	4	Tom Baker	4	To posess a key	The Androids of Tara
Jagrafess	2005	2005	9	Christopher Eccleston	1	Control Humans	The Long Game
